DTXSID,PREFERRED_NAME,reason,collided_with_dtxsid
DTXSID0020101,Aroclor 1260,empty_smiles,
DTXSID0020103,Arsenic oxide (As2O3),mixture_no_dominant_fragment,
DTXSID8020121,Sodium azide,inorganic_no_carbon,
DTXSID2020131,Barium chloride dihydrate,mixture_no_dominant_fragment,
DTXSID2020181,Bismuth oxychloride,inorganic_no_carbon,
DTXSID1020194,Boric acid (H3BO3),inorganic_no_carbon,
DTXSID6020226,Cadmium chloride,mixture_no_dominant_fragment,
DTXSID5020235,Calcium chloride,mixture_no_dominant_fragment,
DTXSID9020326,Chromic oxide pigment,empty_smiles,
DTXSID7020340,Cobalt sulfate heptahydrate,inorganic_no_carbon,
DTXSID8020622,Ferric chloride,mixture_no_dominant_fragment,
DTXSID8020703,Hydrazine sulfate,inorganic_no_carbon,
DTXSID0020789,Magnesium chloride hexahydrate,mixture_no_dominant_fragment,
DTXSID5020811,Mercuric chloride,mixture_no_dominant_fragment,
DTXSID5020813,Methylmercuric(II) chloride,mixture_no_dominant_fragment,
DTXSID9020875,Methylhydrazine sulfate,inorganic_no_carbon,
DTXSID7020899,Molybdenum trioxide,inorganic_no_carbon,
DTXSID7020928,Nickel(II) sulfate hexahydrate,inorganic_no_carbon,
DTXSID6020937,Sodium nitrate,inorganic_no_carbon,
DTXSID0020941,Sodium nitrite,inorganic_no_carbon,
DTXSID6021084,Gamma-Oryzanol,empty_smiles,
DTXSID6021113,Peppermint oil,empty_smiles,
DTXSID5021174,Polybrominated biphenyls (PBB),ambiguous_wildcard_atom,
DTXSID0021175,Polysorbate 80,empty_smiles,
DTXSID4021264,Selenium dioxide,empty_smiles,
DTXSID8021272,Sodium chlorite,inorganic_no_carbon,
DTXSID8021276,Sodium hypochlorite,mixture_no_dominant_fragment,
DTXSID7021283,Strobane,empty_smiles,
DTXSID1021291,Sodium sulfate anhydrous,inorganic_no_carbon,
DTXSID8021351,Stannous chloride,mixture_no_dominant_fragment,
DTXSID3021354,Titanocene dichloride,unparseable_smiles,
DTXSID7021368,Toxaphene,empty_smiles,
DTXSID4021391,Tris(methylphenyl) phosphate,empty_smiles,
DTXSID9021477,Sodium tetrafluoroborate,inorganic_no_carbon,
DTXSID8021486,"1,​2,​3-​Benzenetricarboxylic acid, hydrate (1:x)",empty_smiles,
DTXSID2021731,Methanol,too_small,
DTXSID3021988,"1-Chloro-2-propanol, technical grade (~75% 1-chloro-2-propanol; ~25% 2-chloro-1-propanol)",empty_smiles,
DTXSID5023825,Indium arsenide,too_small,
DTXSID9023833,Poly[oxy(dimethylsilylene)],ambiguous_wildcard_atom,
DTXSID9023837,Sodium bromate,inorganic_no_carbon,
DTXSID5023875,Ammonium sulfamate,inorganic_no_carbon,
DTXSID9023883,Aroclor 1016,empty_smiles,
DTXSID8023892,Abamectin,empty_smiles,
DTXSID5023954,Technical chlordane,empty_smiles,
DTXSID7023986,Copper cyanide,too_small,
DTXSID8024236,Octabromodiphenyl ether,ambiguous_wildcard_atom,
DTXSID2024246,Pentabromodiphenyl ether,ambiguous_wildcard_atom,
DTXSID5024263,Phosphoric acid,inorganic_no_carbon,
DTXSID9024300,Selenious acid,inorganic_no_carbon,
DTXSID1024334,Thallium nitrate,inorganic_no_carbon,
DTXSID4024515,Ammonium perchlorate,inorganic_no_carbon,
DTXSID3024528,Anise oil,empty_smiles,
DTXSID7024534,Annatto,empty_smiles,
DTXSID3024603,Beryllium sulfate tetrahydrate,inorganic_no_carbon,
DTXSID7024615,Bis(cyclopentadiene)chromium(II),unparseable_smiles,
DTXSID2024616,Vanadocene dichloride,unparseable_smiles,
DTXSID0024715,Cadmium oxide,mixture_no_dominant_fragment,
DTXSID7024740,Casanthrol,empty_smiles,
DTXSID7024742,Castor oil,empty_smiles,
DTXSID2024824,"Chlorinated paraffins (C12, 60% chlorine)",empty_smiles,
DTXSID0024840,Cobaltocene,unparseable_smiles,
DTXSID9024853,"Creosote, wood",empty_smiles,
DTXSID7024906,D & C Yellow 11,empty_smiles,
DTXSID4024983,Cisplatin,inorganic_no_carbon,
DTXSID5025071,"1,2-Dihydro-2,2,4-trimethylquinoline, polymer",likely_uvcb_name_pattern,
DTXSID7025219,Sodium dodecylbenzenesulfonate,empty_smiles,
DTXSID9025326,Ferrocene,unparseable_smiles,
DTXSID2025424,Hydroxylamine sulfate (2:1),inorganic_no_carbon,
DTXSID7025425,Hydroxylamine hydrochloride,mixture_no_dominant_fragment,
DTXSID8025709,Nickelocene,unparseable_smiles,
DTXSID4025824,Palladium(II) chloride,mixture_no_dominant_fragment,
DTXSID1025934,Poly(2-hydroxypropyl methacrylate),ambiguous_wildcard_atom,
DTXSID5025948,Potassium dichromate,inorganic_no_carbon,
DTXSID7026025,Sodium chlorate,inorganic_no_carbon,
DTXSID9026051,Stoddard solvent,empty_smiles,
DTXSID4026054,Styrax balsam,empty_smiles,
DTXSID2026076,Tannic acid,empty_smiles,
DTXSID5026124,"N,N,N',N'-Tetramethyl-p-phenylenediamine",empty_smiles,
DTXSID7026318,Zirconocene dichloride,unparseable_smiles,
DTXSID1027394,Naphthenic acids,empty_smiles,
DTXSID6027395,Sorbitan monododecanoate,empty_smiles,
DTXSID1027396,Anhydrosorbitol stearate,empty_smiles,
DTXSID6027634,1-Propene tetramer,empty_smiles,
DTXSID1027714,9-Octadecen-1-ol-ethylene oxide copolymer,likely_uvcb_name_pattern,
DTXSID0027729,Isomethyltetrahydrophthalic anhydride,empty_smiles,
DTXSID9027738,(Methylcyclopentadienyl)tricarbonylmanganese,unparseable_smiles,
DTXSID3027740,2-Ethylhexyl acid phosphate,empty_smiles,
DTXSID1027841,Isooctyl 2-mercaptoacetate,empty_smiles,
DTXSID6027844,"1,2,3,6-Tetrahydromethyl-3,6-methanophthalic anhydride",empty_smiles,
DTXSID5027851,"2,4,4-Trimethylpentene",empty_smiles,
DTXSID5027857,Texanol,unparseable_smiles,
DTXSID9027863,Polypropylene glycol,empty_smiles,
DTXSID4027868,tert-Nonanethiol,empty_smiles,
DTXSID8027870,"3-(Dodecenyl)dihydro-2,5-furandione",empty_smiles,
DTXSID3027875,Glyceryl monooleate,empty_smiles,
DTXSID3027877,Diisodecylphenyl phosphite,empty_smiles,
DTXSID8027878,"2-Propenoic acid, monoester with 1,2-propanediol",empty_smiles,
DTXSID1027891,Calcium dodecylbenzene sulfonate,empty_smiles,
DTXSID3027902,Methylcyclopentadiene dimer,empty_smiles,
DTXSID8027905,"Dihydro-3-(tetrapropenyl)-2,5-furandione",empty_smiles,
DTXSID7027916,Neodecanoic acid,empty_smiles,
DTXSID6027923,Dodecylbenzenesulfonic acid,empty_smiles,
DTXSID1027926,n-Dodecylphenol,ambiguous_wildcard_atom,
DTXSID5027932,Dodecylbenzene sulfonate triethanolamine(1:1),ambiguous_wildcard_atom,
DTXSID5027936,"2-Propenoic acid, 2-methyl-, monoester with 1,2-propanediol",empty_smiles,
DTXSID9027948,"Dihydro-3-(octadecenyl)-2,5-furandione",empty_smiles,
DTXSID3027950,Trimethylolpropane ethoxylate triacrylate,likely_uvcb_name_pattern,
DTXSID8027955,Isooctyl acrylate,empty_smiles,
DTXSID2027963,Isooctadecanoic acid,empty_smiles,
DTXSID5027982,Diisononyl adipate,empty_smiles,
DTXSID7028015,Tripropylene glycol diacrylate,empty_smiles,
