model,regime,bin_lo,bin_hi,n,mean_predicted,observed_frequency
logistic_regression,random,0.0,0.1,586,0.02764452659122572,0.04948805460750853
logistic_regression,random,0.1,0.2,116,0.1426307705122876,0.16379310344827586
logistic_regression,random,0.2,0.30000000000000004,75,0.24498739171092235,0.12
logistic_regression,random,0.30000000000000004,0.4,45,0.3541809466037078,0.17777777777777778
logistic_regression,random,0.4,0.5,44,0.4495586641899051,0.22727272727272727
logistic_regression,random,0.5,0.6000000000000001,37,0.5461291508283054,0.1891891891891892
logistic_regression,random,0.6000000000000001,0.7000000000000001,37,0.6546187905057883,0.24324324324324326
logistic_regression,random,0.7000000000000001,0.8,30,0.7492453085252672,0.3333333333333333
logistic_regression,random,0.8,0.9,43,0.8552551118229995,0.4186046511627907
logistic_regression,random,0.9,1.0,78,0.9644315865380056,0.7051282051282052
random_forest,random,0.0,0.1,367,0.04216893732970027,0.008174386920980926
random_forest,random,0.1,0.2,206,0.14332038834951455,0.038834951456310676
random_forest,random,0.2,0.30000000000000004,148,0.245081081081081,0.08783783783783784
random_forest,random,0.30000000000000004,0.4,112,0.34558928571428565,0.17857142857142858
random_forest,random,0.4,0.5,75,0.4479466666666667,0.28
random_forest,random,0.5,0.6000000000000001,70,0.5458285714285714,0.45714285714285713
random_forest,random,0.6000000000000001,0.7000000000000001,42,0.6521428571428571,0.6190476190476191
random_forest,random,0.7000000000000001,0.8,35,0.7424571428571428,0.5428571428571428
random_forest,random,0.8,0.9,21,0.8570476190476191,0.8571428571428571
random_forest,random,0.9,1.0,15,0.9380000000000001,0.9333333333333333
xgboost,random,0.0,0.1,341,0.052039437301189234,0.008797653958944282
xgboost,random,0.1,0.2,169,0.14619967350240287,0.03550295857988166
xgboost,random,0.2,0.30000000000000004,121,0.2487665313827105,0.06611570247933884
xgboost,random,0.30000000000000004,0.4,97,0.34869655505898073,0.1134020618556701
xgboost,random,0.4,0.5,66,0.4529689207221522,0.19696969696969696
xgboost,random,0.5,0.6000000000000001,71,0.5562490846069765,0.2535211267605634
xgboost,random,0.6000000000000001,0.7000000000000001,74,0.6558474326455915,0.3108108108108108
xgboost,random,0.7000000000000001,0.8,71,0.7491064390666048,0.49295774647887325
xgboost,random,0.8,0.9,51,0.8533266665888768,0.6078431372549019
xgboost,random,0.9,1.0,30,0.9351727346579234,0.8666666666666667
logistic_regression,scaffold,0.0,0.1,634,0.01895354351752929,0.1309148264984227
logistic_regression,scaffold,0.1,0.2,87,0.14074547423564351,0.2988505747126437
logistic_regression,scaffold,0.2,0.30000000000000004,44,0.2508214898978143,0.25
logistic_regression,scaffold,0.30000000000000004,0.4,58,0.3477532662383805,0.22413793103448276
logistic_regression,scaffold,0.4,0.5,39,0.44327556453055234,0.3333333333333333
logistic_regression,scaffold,0.5,0.6000000000000001,27,0.5392908886903728,0.4074074074074074
logistic_regression,scaffold,0.6000000000000001,0.7000000000000001,34,0.650775432785017,0.3235294117647059
logistic_regression,scaffold,0.7000000000000001,0.8,29,0.749021650661198,0.4827586206896552
logistic_regression,scaffold,0.8,0.9,44,0.848419902625369,0.1590909090909091
logistic_regression,scaffold,0.9,1.0,95,0.9617762406570256,0.43157894736842106
random_forest,scaffold,0.0,0.1,124,0.061928686635944696,0.0
random_forest,scaffold,0.1,0.2,186,0.15428282983444272,0.04838709677419355
random_forest,scaffold,0.2,0.30000000000000004,246,0.2486574525745257,0.1016260162601626
random_forest,scaffold,0.30000000000000004,0.4,203,0.34888745015247474,0.2413793103448276
random_forest,scaffold,0.4,0.5,177,0.44404585687382303,0.3728813559322034
random_forest,scaffold,0.5,0.6000000000000001,100,0.5454726666666666,0.53
random_forest,scaffold,0.6000000000000001,0.7000000000000001,38,0.6459627192982456,0.5263157894736842
random_forest,scaffold,0.7000000000000001,0.8,10,0.74,0.4
random_forest,scaffold,0.8,0.9,5,0.8475999999999999,0.6
random_forest,scaffold,0.9,1.0,2,0.904,0.5
xgboost,scaffold,0.0,0.1,560,0.02571205759119424,0.08035714285714286
xgboost,scaffold,0.1,0.2,113,0.14322397000757991,0.25663716814159293
xgboost,scaffold,0.2,0.30000000000000004,77,0.24888491437032625,0.2077922077922078
xgboost,scaffold,0.30000000000000004,0.4,55,0.3446382798931815,0.23636363636363636
xgboost,scaffold,0.4,0.5,48,0.4463560531536738,0.3125
xgboost,scaffold,0.5,0.6000000000000001,53,0.5464078345388736,0.39622641509433965
xgboost,scaffold,0.6000000000000001,0.7000000000000001,39,0.6454600279147809,0.41025641025641024
xgboost,scaffold,0.7000000000000001,0.8,59,0.7478373171919483,0.4915254237288136
xgboost,scaffold,0.8,0.9,54,0.8524505462911394,0.46296296296296297
xgboost,scaffold,0.9,1.0,33,0.9407558314728014,0.6363636363636364
