regime,model,subset,n,n_active,auroc,auprc,sensitivity,specificity,balanced_accuracy,f1,mcc,brier_score
random,logistic_regression,overall,1091,174,0.8018400832299227,0.49215298755434556,0.5689655172413793,0.8625954198473282,0.7157804685443538,0.49624060150375937,0.3905271341133485,0.1346303118911952
random,logistic_regression,below_cytotox_threshold,995,78,0.845636551743422,0.35771744119513427,0.6282051282051282,0.8625954198473282,0.7454002740262282,0.38735177865612647,0.3465062381786727,0.11217020794026775
random,random_forest,overall,1091,174,0.8923463568106896,0.6482811800860627,0.6264367816091954,0.9193020719738277,0.7728694267915115,0.6106442577030813,0.5347806651759102,0.0977067167736022
random,random_forest,below_cytotox_threshold,995,78,0.9075091575091576,0.5386458102188502,0.6923076923076923,0.9193020719738277,0.80580488214076,0.5242718446601942,0.4910117057754407,0.08205496281407035
random,xgboost,overall,1091,174,0.8792602063199587,0.6284880790652312,0.764367816091954,0.8211559432933478,0.792761879692651,0.564755838641189,0.4816320051079265,0.12637687919008955
random,xgboost,below_cytotox_threshold,995,78,0.8981629057964936,0.5457153124603935,0.8076923076923077,0.8211559432933478,0.8144241254928277,0.4131147540983607,0.4027952012760925,0.12068293812078842
scaffold,logistic_regression,overall,1091,230,0.6726354592738475,0.3419734543482266,0.3652173913043478,0.8315911730545877,0.5984042821794677,0.3660130718954248,0.19712336900210345,0.21339818131481922
scaffold,logistic_regression,below_cytotox_threshold,940,79,0.6865434657963216,0.17330589624985815,0.4177215189873418,0.8315911730545877,0.6246563460209648,0.25680933852140075,0.17655174838947724,0.16236541123393253
scaffold,random_forest,overall,1091,230,0.7955234055446145,0.4509316257273821,0.3521739130434783,0.9140534262485482,0.6331136696460132,0.42077922077922075,0.3110386598765376,0.14800890793099897
scaffold,random_forest,below_cytotox_threshold,940,79,0.797336038459842,0.24361598334484877,0.4177215189873418,0.9140534262485482,0.665887472617945,0.3548387096774194,0.2898306547831595,0.11891794654546473
scaffold,xgboost,overall,1091,230,0.7630434782608696,0.45812361441574284,0.48695652173913045,0.8536585365853658,0.6703075291622481,0.47863247863247865,0.33640802203011794,0.16244429932787255
scaffold,xgboost,below_cytotox_threshold,940,79,0.7562592804951558,0.24887269484768093,0.5063291139240507,0.8536585365853658,0.6799938252547082,0.32653061224489793,0.26192575197634965,0.1253587765340229
