DTXSID,scaffold_split,random_split
DTXSID7020005,train,train
DTXSID2020006,train,test
DTXSID7020007,val,test
DTXSID7020009,train,val
DTXSID6020014,test,val
DTXSID1020015,train,test
DTXSID0020020,train,train
DTXSID5020021,train,train
DTXSID0020022,train,train
DTXSID5020023,train,val
DTXSID0020024,train,val
DTXSID5020027,train,train
DTXSID5020029,train,train
DTXSID9020031,test,test
DTXSID4020032,train,val
DTXSID4020038,train,train
DTXSID8020040,val,train
DTXSID3020043,train,train
DTXSID8020044,train,test
DTXSID3020047,train,train
DTXSID7020053,train,train
DTXSID2020054,train,val
DTXSID7020057,train,train
DTXSID2020058,val,train
DTXSID6020062,train,train
DTXSID1020063,train,train
DTXSID6020064,train,train
DTXSID6020066,train,test
DTXSID6020068,train,test
DTXSID1020069,train,train
DTXSID0020070,train,train
DTXSID5020071,train,train
DTXSID0020074,train,train
DTXSID0020076,train,train
DTXSID5020079,train,val
DTXSID9020081,train,val
DTXSID9020083,train,train
DTXSID4020086,train,train
DTXSID4020088,train,train
DTXSID9020089,train,train
DTXSID8020090,train,train
DTXSID8020092,train,val
DTXSID3020093,train,train
DTXSID8020094,train,val
DTXSID3020095,train,train
DTXSID3020097,train,test
DTXSID3020099,test,train
DTXSID0020105,train,train
DTXSID0020107,train,val
DTXSID5020108,train,train
DTXSID9020110,test,train
DTXSID9020112,train,train
DTXSID4020113,val,train
DTXSID9020114,test,train
DTXSID4020115,train,train
DTXSID9020116,val,train
DTXSID4020117,test,train
DTXSID9020118,train,test
DTXSID4020119,test,train
DTXSID3020120,val,train
DTXSID3020122,train,train
DTXSID8020123,train,train
DTXSID8020127,train,train
DTXSID3020128,train,train
DTXSID8020129,train,train
DTXSID2020137,train,test
DTXSID2020139,val,train
DTXSID1020140,train,val
DTXSID6020141,val,val
DTXSID1020142,val,train
DTXSID1020144,train,train
DTXSID6020145,train,train
DTXSID1020146,test,train
DTXSID6020147,train,val
DTXSID1020148,train,train
DTXSID6020149,train,train
DTXSID0020151,train,train
DTXSID5020152,train,test
DTXSID0020153,train,train
DTXSID5020154,train,val
DTXSID0020155,train,val
DTXSID5020156,train,test
DTXSID0020157,train,train
DTXSID9020160,test,train
DTXSID4020161,train,train
DTXSID9020164,train,train
DTXSID9020166,train,train
DTXSID4020167,train,train
DTXSID9020168,train,train
DTXSID8020173,train,train
DTXSID8020175,test,train
DTXSID8020179,train,test
DTXSID7020182,train,train
DTXSID7020184,val,train
DTXSID2020189,train,train
DTXSID1020190,train,test
DTXSID6020193,train,train
DTXSID6020197,test,train
DTXSID1020198,train,train
DTXSID6020199,train,train
DTXSID8020200,train,train
DTXSID8020202,train,train
DTXSID3020205,train,train
DTXSID8020206,train,train
DTXSID3020207,train,train
DTXSID3020209,train,val
DTXSID2020210,train,train
DTXSID7020211,train,test
DTXSID2020212,train,train
DTXSID7020213,train,train
DTXSID7020215,train,val
DTXSID2020216,train,train
DTXSID6020220,train,train
DTXSID1020221,train,val
DTXSID6020222,train,train
DTXSID1020223,train,train
DTXSID6020224,train,val
DTXSID5020231,train,train
DTXSID0020232,train,train
DTXSID5020233,train,train
DTXSID0020236,train,train
DTXSID0020238,train,val
DTXSID5020239,val,test
DTXSID4020240,train,train
DTXSID9020241,train,train
DTXSID4020242,train,train
DTXSID9020243,train,train
DTXSID4020244,train,train
