DTXSID,label,predicted_proba,is_error,uncertainty_std,nn_tanimoto_to_train,ad_novelty
DTXSID6020014,0.0,0.108,False,0.3103804117530631,0.3142857142857143,0.6857142857142857
DTXSID9020031,1.0,0.248,True,0.4318518264405046,0.17592592592592593,0.8240740740740741
DTXSID3020099,1.0,0.558,False,0.4966246067202052,0.375,0.625
DTXSID9020110,1.0,0.366,True,0.4817094560001896,0.3918918918918919,0.6081081081081081
DTXSID9020114,1.0,0.78,False,0.41424630354416064,0.5833333333333334,0.41666666666666663
DTXSID4020117,0.0,0.046,False,0.2094850830011529,0.6086956521739131,0.3913043478260869
DTXSID4020119,0.0,0.36,False,0.47999999999999887,0.25925925925925924,0.7407407407407407
DTXSID1020146,0.0,0.71,True,0.4537620521815381,0.5757575757575758,0.4242424242424242
DTXSID9020160,0.0,0.448,False,0.4972886485734429,0.5,0.5
DTXSID8020175,0.0,0.584,True,0.49289349762397977,0.425531914893617,0.574468085106383
DTXSID6020197,1.0,0.236,True,0.42462218500685933,0.36893203883495146,0.6310679611650485
DTXSID4020290,0.0,0.458,False,0.4982328772772839,0.40384615384615385,0.5961538461538461
DTXSID3020330,1.0,0.456,True,0.49806023732074806,0.631578947368421,0.368421052631579
DTXSID7020344,1.0,0.304,True,0.4599826083668814,0.5517241379310345,0.4482758620689655
DTXSID1020358,0.0,0.104,False,0.30526054445342143,0.3793103448275862,0.6206896551724138
DTXSID0020363,0.0,0.042,False,0.20058913230780998,0.2777777777777778,0.7222222222222222
DTXSID0020365,1.0,0.194,True,0.3954288810898878,0.14953271028037382,0.8504672897196262
DTXSID9020378,0.0,0.054,False,0.22601769842204852,0.6438356164383562,0.3561643835616438
DTXSID4020452,0.0,0.134,False,0.3406523154185208,0.13793103448275862,0.8620689655172413
DTXSID3020469,0.0,0.496,False,0.4999839997439928,0.4074074074074074,0.5925925925925926
DTXSID2020470,0.0,0.274,False,0.44600896851969113,0.7407407407407407,0.2592592592592593
DTXSID8020541,0.0,0.414,False,0.49254847477177327,0.46875,0.53125
DTXSID2020557,0.0,0.614,True,0.48683056600833857,0.3157894736842105,0.6842105263157895
DTXSID7020558,1.0,0.406,True,0.49108451411136794,0.23958333333333334,0.7604166666666666
DTXSID1020560,1.0,0.416,True,0.4928934976239798,0.36363636363636365,0.6363636363636364
DTXSID5020601,0.0,0.028,False,0.16497272501840987,0.375,0.625
DTXSID9020615,0.0,0.3075,False,0.4610517866791092,0.288135593220339,0.711864406779661
DTXSID4020616,0.0,0.02,False,0.14000000000000096,0.3,0.7
DTXSID3020625,0.0,0.19166666666666665,False,0.3932591737998967,0.359375,0.640625
DTXSID8020626,0.0,0.338,False,0.4730285403651655,0.32432432432432434,0.6756756756756757
DTXSID2020636,0.0,0.31,False,0.4624932431938895,0.24242424242424243,0.7575757575757576
DTXSID6020648,0.0,0.31,False,0.46249324319388974,0.38333333333333336,0.6166666666666667
DTXSID0020656,0.0,0.068,False,0.2517459036409527,0.2073170731707317,0.7926829268292683
DTXSID4020668,0.0,0.056,False,0.22992172581119935,0.2222222222222222,0.7777777777777778
DTXSID8020678,0.0,0.43,False,0.49507575177946184,0.2857142857142857,0.7142857142857143
DTXSID7020710,0.0,0.514,True,0.49980396156893436,0.6,0.4
DTXSID4020745,0.0,0.386,False,0.48683056600833874,0.34146341463414637,0.6585365853658536
DTXSID1020770,1.0,0.43,True,0.4950757517794619,0.20689655172413793,0.7931034482758621
DTXSID9020792,0.0,0.214,False,0.4101268096576952,0.3,0.7
DTXSID1020803,1.0,0.32,True,0.466476151587626,0.2711864406779661,0.728813559322034
DTXSID0020810,0.0,0.268,False,0.4429175995600107,0.4642857142857143,0.5357142857142857
DTXSID0020818,0.0,0.102,False,0.30264831075028437,0.6341463414634146,0.36585365853658536
DTXSID4020820,0.0,0.046,False,0.20948508300115307,0.25,0.75
DTXSID0020862,1.0,0.622,False,0.48488761584515455,0.4444444444444444,0.5555555555555556
DTXSID8020886,0.0,0.11,False,0.312889756943239,0.4074074074074074,0.5925925925925926
DTXSID7020895,0.0,0.366,False,0.4817094560001896,0.16666666666666666,0.8333333333333334
DTXSID2020898,0.0,0.2,False,0.40000000000000074,0.22641509433962265,0.7735849056603774
DTXSID9020902,0.0,0.232,False,0.4221089906647336,0.20253164556962025,0.7974683544303798
DTXSID3020912,0.0,0.234,False,0.42337217669563354,0.39655172413793105,0.603448275862069
DTXSID2021070,0.0,0.596,True,0.4906974628016747,0.6086956521739131,0.3913043478260869
DTXSID0021096,0.0,0.424,False,0.4941902467673775,0.4318181818181818,0.5681818181818181
DTXSID1021118,1.0,0.634,False,0.4817094560001896,0.5,0.5
DTXSID0021123,0.0,0.212,False,0.4087248463208476,0.5833333333333334,0.41666666666666663
DTXSID0021127,1.0,0.36,True,0.47999999999999904,0.4358974358974359,0.5641025641025641
DTXSID6021163,0.0,0.236,False,0.4246221850068591,0.23636363636363636,0.7636363636363637
DTXSID4021181,0.0,0.26,False,0.4386342439892259,0.64,0.36
DTXSID9021182,0.0,0.2715,False,0.44431154610250595,0.32,0.6799999999999999
DTXSID8021195,0.0,0.048,False,0.2137662274541981,0.2777777777777778,0.7222222222222222
DTXSID8021222,0.0,0.18,False,0.384187454245972,0.1875,0.8125
DTXSID3021223,0.0,0.352,False,0.47759396981117763,0.22058823529411764,0.7794117647058824
DTXSID8021224,1.0,0.374,True,0.48386361714846904,0.5384615384615384,0.46153846153846156
DTXSID6021244,1.0,0.332,True,0.4709309928216672,0.1774193548387097,0.8225806451612903
DTXSID6021292,0.0,0.134,False,0.34065231541852076,0.5853658536585366,0.41463414634146345
DTXSID6021327,1.0,0.604,False,0.4890644129355582,0.3333333333333333,0.6666666666666667
DTXSID0021339,0.0,0.02,False,0.14,0.16666666666666666,0.8333333333333334
DTXSID4021397,0.0,0.23,False,0.42083250825001534,0.36363636363636365,0.6363636363636364
DTXSID9021425,0.0,0.276,False,0.44701677820860314,0.3888888888888889,0.6111111111111112
DTXSID6021660,0.0,0.124,False,0.32958155288183366,0.3,0.7
DTXSID9021685,0.0,0.106,False,0.3078376195334148,0.4642857142857143,0.5357142857142857
DTXSID8021729,1.0,0.554,False,0.4970754469896891,0.4444444444444444,0.5555555555555556
DTXSID6021795,0.0,0.51,True,0.4998999899979976,0.4666666666666667,0.5333333333333333
DTXSID2022121,0.0,0.57,True,0.49507575177946184,0.5789473684210527,0.42105263157894735
DTXSID7022253,1.0,0.304,True,0.45998260836688143,0.631578947368421,0.368421052631579
DTXSID4022315,1.0,0.628,False,0.48333839077813945,0.29310344827586204,0.7068965517241379
DTXSID7022382,1.0,0.882,False,0.32260812141048256,0.4782608695652174,0.5217391304347826
DTXSID0022432,0.0,0.642,True,0.4794121400215057,0.8571428571428571,0.1428571428571429
DTXSID9022524,0.0,0.31360000000000005,False,0.46361087131343365,0.3939393939393939,0.6060606060606061
DTXSID0022565,0.0,0.064,False,0.2447529366524545,0.2894736842105263,0.7105263157894737
DTXSID4022573,0.0,0.164,False,0.37027557305336817,0.25,0.75
DTXSID3022582,0.0,0.468,False,0.49897494927100305,0.34210526315789475,0.6578947368421053
DTXSID3022584,0.0,0.098,False,0.2973146481423352,0.4482758620689655,0.5517241379310345
DTXSID9022601,0.0,0.246,False,0.43067853440820775,0.24324324324324326,0.7567567567567568
DTXSID9022603,0.0,0.186,False,0.3891066691795441,0.24324324324324326,0.7567567567567568
DTXSID8022614,0.0,0.632,True,0.4822613399392491,0.2857142857142857,0.7142857142857143
